"TimePeriod","Region","ObsValue","State","Rank"
2014,"Palmerston",34478,"Northern Territory",2
2013,"Palmerston",32972,"Northern Territory",2
2023,"Alice Springs",29213,"Northern Territory",3
2022,"Alice Springs",28859,"Northern Territory",3
2021,"Alice Springs",28483,"Northern Territory",3
2013,"Alice Springs",28124,"Northern Territory",3
2020,"Alice Springs",28029,"Northern Territory",3
2019,"Alice Springs",27600,"Northern Territory",3
2014,"Alice Springs",27486,"Northern Territory",3
2018,"Alice Springs",27223,"Northern Territory",3
2017,"Alice Springs",26889,"Northern Territory",3
2015,"Alice Springs",26843,"Northern Territory",3
2016,"Alice Springs",26518,"Northern Territory",3
2013,"Christmas Island",2041,"Other Territories",1
2014,"Christmas Island",1979,"Other Territories",1
2015,"Christmas Island",1929,"Other Territories",1
2016,"Christmas Island",1903,"Other Territories",1
2017,"Christmas Island",1876,"Other Territories",1
2018,"Christmas Island",1848,"Other Territories",1
2023,"Christmas Island",1823,"Other Territories",1
2019,"Christmas Island",1803,"Other Territories",1
2022,"Christmas Island",1786,"Other Territories",1
2020,"Christmas Island",1758,"Other Territories",1
2021,"Christmas Island",1717,"Other Territories",1
2023,"Cocos Islands",631,"Other Territories",2
2022,"Cocos Islands",616,"Other Territories",2
2020,"Cocos Islands",608,"Other Territories",2
2021,"Cocos Islands",603,"Other Territories",2
2019,"Cocos Islands",591,"Other Territories",2
2014,"Cocos Islands",556,"Other Territories",2
2015,"Cocos Islands",555,"Other Territories",2
2018,"Cocos Islands",553,"Other Territories",2
2017,"Cocos Islands",552,"Other Territories",2
2013,"Cocos Islands",547,"Other Territories",2
2016,"Cocos Islands",546,"Other Territories",2
